Year,Month,mm
1967,01,41.35
1967,02,55.88
1967,03,39.53
1967,04,63.84
1967,05,53.15
1967,06,61.41
1967,07,36.95
1967,08,51.3
1967,09,78.65
1967,10,34.01
1967,11,102.79
1967,12,79.42
1968,01,58.51
1968,02,93.26
1968,03,25.73
1968,04,45.36
1968,05,70.72
1968,06,82.29
1968,07,41.09
1968,08,89.96
1968,09,67.9
1968,10,36.68
1968,11,125.34
1968,12,100.78
1969,01,64.62
1969,02,93.75
1969,03,77.35
1969,04,54.17
1969,05,57.66
1969,06,61.79
1969,07,45.92
1969,08,68.69
1969,09,90.4
1969,10,25.35
1969,11,93.26
1969,12,97.63
1970,01,89.31
1970,02,54.39
1970,03,75.94
1970,04,49.17
1970,05,53.44
1970,06,46.87
1970,07,33.15
1970,08,64.19
1970,09,38.24
1970,10,59.49
1970,11,73.09
1970,12,88.64
1971,01,82.31
1971,02,50.7
1971,03,79.22
1971,04,55.57
1971,05,74.87
1971,06,58.69
1971,07,30.68
1971,08,33.2
1971,09,61.13
1971,10,39.83
1971,11,131.07
1971,12,45.74
1972,01,110.62
1972,02,114.52
1972,03,58.37
1972,04,93.33
1972,05,69.92
1972,06,55.75
1972,07,64.82
1972,08,54.39
1972,09,95.13
1972,10,77
1972,11,52.34
1972,12,84.74
1973,01,98.28
1973,02,63.9
1973,03,50.64
1973,04,57.83
1973,05,24.43
1973,06,68.77
1973,07,55.65
1973,08,54.71
1973,09,104.13
1973,10,73.61
1973,11,36.9
1973,12,73.02
1974,01,50.19
1974,02,100.38
1974,03,62.34
1974,04,107.39
1974,05,56.52
1974,06,50.25
1974,07,27.84
1974,08,52.36
1974,09,84.3
1974,10,100.48
1974,11,79.4
1974,12,25.43
1975,01,37.2
1975,02,56.35
1975,03,100
1975,04,49.9
1975,05,101.17
1975,06,64.99
1975,07,32.76
1975,08,89.99
1975,09,57.77
1975,10,91.11
1975,11,129.56
1975,12,72.53
1976,01,32.3
1976,02,75.24
1976,03,53.97
1976,04,65.08
1976,05,56.18
1976,06,49.94
1976,07,87.68
1976,08,85.36
1976,09,105.15
1976,10,169.56
1976,11,142.73
1976,12,96.56
1977,01,105.21
1977,02,68
1977,03,61.39
1977,04,54.43
1977,05,79.67
1977,06,49.72
1977,07,65.86
1977,08,102.78
1977,09,54.6
1977,10,58.27
1977,11,66.29
1977,12,66.79
1978,01,125.76
1978,02,87.58
1978,03,72.52
1978,04,116.75
1978,05,92.63
1978,06,55.99
1978,07,41.38
1978,08,48.59
1978,09,49.87
1978,10,95.36
1978,11,46.11
1978,12,88.73
1979,01,93.1
1979,02,100.46
1979,03,93.49
1979,04,84.33
1979,05,25.71
1979,06,62.07
1979,07,41.91
1979,08,76.8
1979,09,83.52
1979,10,148.08
1979,11,113.12
1979,12,93.48
1980,01,91.61
1980,02,26.24
1980,03,96.2
1980,04,44.99
1980,05,105.43
1980,06,68.96
1980,07,34.64
1980,08,47.27
1980,09,23.3
1980,10,138.97
1980,11,129.75
1980,12,65.76
1981,01,51.35
1981,02,40.4
1981,03,61.92
1981,04,48.96
1981,05,71.51
1981,06,53.84
1981,07,67.21
1981,08,42.66
1981,09,120.12
1981,10,93.15
1981,11,23.92
1981,12,119.62
1982,01,42.09
1982,02,39.57
1982,03,72.92
1982,04,34.93
1982,05,52.22
1982,06,45.07
1982,07,46.5
1982,08,75.02
1982,09,72.05
1982,10,137.29
1982,11,125.05
1982,12,95.16
1983,01,21.88
1983,02,67.11
1983,03,81.47
1983,04,50.97
1983,05,72.64
1983,06,62.08
1983,07,21.59
1983,08,73.39
1983,09,59.86
1983,10,61.2
1983,11,49.07
1983,12,108.38
1984,01,60.95
1984,02,88.73
1984,03,70.65
1984,04,75.93
1984,05,124.16
1984,06,49.21
1984,07,17.1
1984,08,84.35
1984,09,111.33
1984,10,94.3
1984,11,101.41
1984,12,89.69
1985,01,105.65
1985,02,33.5
1985,03,124.07
1985,04,53.03
1985,05,75.38
1985,06,48.35
1985,07,28.1
1985,08,48.75
1985,09,24.18
1985,10,55.48
1985,11,124.32
1985,12,47.62
1986,01,98.57
1986,02,102.64
1986,03,78.35
