Year,Month,TAS,TSMAX,TSMIN
1986,3,7.17,10.57,3.83
1986,4,10.28,13.95,6.5
1986,5,16.77,21.26,12.2
1986,6,18.05,22.43,13.57
1986,7,20.69,25.1,16.15
1986,8,21.87,26.61,17.08
1986,9,18.03,22.71,13.56
1986,10,14.16,18.79,9.93
1986,11,8.65,12.39,5.35
1986,12,3.64,7.61,0.2
1987,1,2.6,5.92,-0.66
1987,2,4.62,7.78,1.61
1987,3,3.96,7.87,-0.14
1987,4,10.7,15.07,6.23
1987,5,13,17.27,8.49
1987,6,18,22.38,13.25
1987,7,22.25,26.87,17.54
1987,8,21.68,26.34,17.06
1987,9,20.51,25.4,16.03
1987,10,14.81,18.28,11.53
1987,11,8.99,12.26,5.95
1987,12,5.93,9.05,3.13
1988,1,6.02,8.96,3.19
1988,2,4.94,8.82,1.16
1988,3,6.95,10.89,2.91
1988,4,10.93,14.74,7.08
1988,5,15.6,19.55,11.76
1988,6,18.17,22.36,13.79
1988,7,22.98,27.77,17.93
1988,8,22.17,27.07,17.28
1988,9,17.64,22.22,13.22
1988,10,15.06,18.95,11.58
1988,11,6.41,10.27,2.89
1988,12,4.24,7.95,0.96
1989,1,3.51,7.93,-0.05
1989,2,6.02,10.39,2.27
1989,3,9.54,14.12,5.08
1989,4,10.65,14.3,6.95
1989,5,14.74,19.2,10.2
1989,6,17.64,22.02,13.13
1989,7,21.3,25.66,16.95
1989,8,21.31,26.01,16.71
1989,9,17.39,21.48,13.64
1989,10,12.24,16.91,8.11
1989,11,7.44,11.13,4.03
1989,12,5.61,9.03,2.53
1990,1,3.84,7.97,0.47
1990,2,7.58,12.03,3.57
1990,3,9.11,13.8,4.7
1990,4,9.99,13.71,6.25
1990,5,15.62,19.97,11.21
1990,6,18.76,23.1,14.14
1990,7,21.55,26.24,16.67
1990,8,21.13,25.91,16.49
1990,9,17.9,22.42,13.62
1990,10,15.13,18.56,11.95
1990,11,8.39,11.88,5.14
1990,12,2.74,5.79,-0.11
1991,1,3.71,7.19,0.7
1991,2,3.1,6.78,-0.44
1991,3,9.52,13.15,6.08
1991,4,8.99,13.02,4.9
1991,5,11.9,15.82,7.73
1991,6,18.22,22.51,13.66
1991,7,22.09,26.72,17.28
1991,8,22.12,26.87,17.48
1991,9,19.17,23.53,15.07
1991,10,12.64,16.2,9.29
1991,11,7.84,11.16,4.53
1991,12,2.33,6.19,-0.89
1992,1,3.35,6.95,0.37
1992,2,4.64,8.9,0.78
1992,3,7.59,11.72,3.6
1992,4,10.6,14.47,6.68
1992,5,15.66,19.97,11.31
1992,6,17.53,21.44,13.6
1992,7,20.84,25.17,16.31
